Category,Metric,Value
Data Statistics,Original Dataset Size,36111
Data Statistics,After Filtering,1937
Data Statistics,Test Set Size,388
Data Statistics,Number of Features,15
Data Statistics,Target Neighborhoods,"Williamsburg, Upper East Side, Astoria, Bedford-Stuyvesant, Hell's Kitchen, Harlem, Bushwick, Crown Heights"
Price Statistics,Mean Price,$227.43
Price Statistics,Median Price,$180.00
Price Statistics,Std Dev,$151.90
Price Statistics,Min Price,$53.00
Price Statistics,Max Price,$1000.00
Best Model Performance,Model Name,Gradient Boosting
Best Model Performance,RMSE,$100.14
Best Model Performance,MAE,$64.20
Best Model Performance,RÂ²,0.6514
Best Model Performance,MAPE,29.68%
Business Impact,Current Avg Price,$232.19
Business Impact,Predicted Avg Price,$237.46
Business Impact,Price Change,$5.27 (+2.27%)
Business Impact,Portfolio Size,388
Business Impact,Assumed Occupancy,70%
Business Impact,Current Annual Revenue,"$23,018,250.50"
Business Impact,Optimized Annual Revenue,"$23,540,523.13"
Business Impact,Revenue Increase,"$522,272.63 (+2.27%)"
Business Impact,Underpriced Properties,173 (44.6%)
Business Impact,Overpriced Properties,106 (27.3%)
